name,entry_name,source_url,graph_src,axes_json,sweetness,sourness,freshness,body,balance,season
편백숲산소막걸리9,편백숲 산소막걸리,https://terms.naver.com/entry.naver?docId=6040763&cid=58637&categoryId=58656,https://dbscthumb-phinf.pstatic.net/4776_000_2/20200824183632800_X0QY3OMCR.png/fe87_469_i8.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단맛"", ""label_en"": ""sweetness"", ""value"": 3}, {""label_ko"": ""신맛"", ""label_en"": ""sourness"", ""value"": 3}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 3}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 3}]",3,3,3,3,,봄
진맥소주 오크40%,진맥소주 40%,https://terms.naver.com/entry.naver?docId=6040717&cid=58637&categoryId=58657,https://dbscthumb-phinf.pstatic.net/4776_000_2/20200824190301842_99DVWVFQU.png/fe87_478_i10.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""향"", ""label_en"": ""aroma"", ""value"": 4}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 2}, {""label_ko"": ""목넘김"", ""label_en"": ""other"", ""value"": 3}]",,,,2,,가을
영일만친구 막걸리,영일만친구 막걸리,https://terms.naver.com/entry.naver?docId=5804506&cid=58637&categoryId=58657,https://dbscthumb-phinf.pstatic.net/4776_000_2/20190726155718986_ZETL8J9GK.png/fe87_375_i10.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단맛"", ""label_en"": ""sweetness"", ""value"": 2}, {""label_ko"": ""신맛"", ""label_en"": ""sourness"", ""value"": 2}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 3}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 2}]",2,2,3,2,,가을
김포특주,김포특주,https://terms.naver.com/entry.naver?docId=5681215&cid=58637&categoryId=58651,https://dbscthumb-phinf.pstatic.net/4776_000_1/20181013062416577_BUZBFMQH2.png/fe87_315_i8.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단 맛"", ""label_en"": ""sweetness"", ""value"": 4}, {""label_ko"": ""신 맛"", ""label_en"": ""sourness"", ""value"": 4}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 2}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 2}]",4,4,2,2,,가을
삼양춘 생약주,삼양춘 생약주,https://terms.naver.com/entry.naver?docId=5681233&cid=58637&categoryId=58646,https://dbscthumb-phinf.pstatic.net/4776_000_1/20181013040512795_N3SGV1K96.png/fe87_295_i9.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단 맛"", ""label_en"": ""sweetness"", ""value"": 3}, {""label_ko"": ""신 맛"", ""label_en"": ""sourness"", ""value"": 1}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 1}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 2}]",3,1,1,2,,가을
백련 맑은술,백련 맑은술,https://terms.naver.com/entry.naver?docId=3551566&cid=58637&categoryId=58654,https://dbscthumb-phinf.pstatic.net/4776_000_1/20170116182423224_ZXXNHTGWN.jpg/fe87_082_i8.jpg?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단 맛"", ""label_en"": ""sweetness"", ""value"": 2}, {""label_ko"": ""신 맛"", ""label_en"": ""sourness"", ""value"": 2}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 1}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 2}]",2,2,1,2,,가을
호땅,호땅,https://terms.naver.com/entry.naver?docId=6036285&cid=58637&categoryId=58651,https://dbscthumb-phinf.pstatic.net/4776_000_2/20200824164911249_EXUETJK71.png/fe87_430_i8.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단맛"", ""label_en"": ""sweetness"", ""value"": 3}, {""label_ko"": ""신맛"", ""label_en"": ""sourness"", ""value"": 1}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 2}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 4}]",3,1,2,4,,겨울
조선주조사,조선주조사,https://terms.naver.com/entry.naver?docId=6040735&cid=58637&categoryId=58658,https://dbscthumb-phinf.pstatic.net/4776_000_2/20200824193543347_JUOA6N9QG.png/fe87_489_i11.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단맛"", ""label_en"": ""sweetness"", ""value"": 3}, {""label_ko"": ""신맛"", ""label_en"": ""sourness"", ""value"": 3}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 2}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 3}]",3,3,2,3,,가을
"코이버펑크, 샤르도네 세미용 2018","코이버펑크, 샤르도네 세미용 블렌드",https://terms.naver.com/entry.naver?docId=6598721&cid=58637&categoryId=58657,https://dbscthumb-phinf.pstatic.net/4776_000_3/20220323120625322_FYFOTS2AQ.png/fe87_547_i6.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단맛"", ""label_en"": ""sweetness"", ""value"": 2}, {""label_ko"": ""신맛"", ""label_en"": ""sourness"", ""value"": 4}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 4}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 3}]",2,4,4,3,,여름
세종 오가닉,세종 오가닉,https://terms.naver.com/entry.naver?docId=3551563&cid=58637&categoryId=58653,https://dbscthumb-phinf.pstatic.net/4776_000_1/20170113202147542_GRZ01X42M.jpg/fe87_079_i8.jpg?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단 맛"", ""label_en"": ""sweetness"", ""value"": 1}, {""label_ko"": ""신 맛"", ""label_en"": ""sourness"", ""value"": 3}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 1}, {""label_ko"": ""목넘김"", ""label_en"": ""other"", ""value"": 3}]",1,3,,1,,가을
